tab,affirmation,Gasevic,Other,Melanie
Import,It is easy to upload files,5,5,5
Import,It is easy to remove files,5,5,5
Import,It is clear when a file is uploaded,3,4,2
Import,It is clear when a file is removed,3,4,2
Display,It is clear the format of the quizzes,5,3,5
Display,It is clear how to select the columns of the cognitive file,2,3,2
Individual,It is easy to search for a student email,1,4,2
Individual,It is easy to visualize which quiz is displayed in the plot,5,5,5
Individual,The plot is easy to read,5,5,5
Group,It is easy to visualize which quiz is displayed in the plot,5,3,5
Group,It is easy to identify possible guessing or cheating misconducts,1,3,3
Group,It is easy to understand the relation of time per question versus the grade,5,3,5
Quiz,It is easy to visualize which quiz is displayed in the plot,5,3,4
Quiz,It is easy to interpret the histogram and boxplot,5,5,5
Quiz,The ET and ETL plots are easy to interpret,5,4,4
Rasch,The Item Characterisic Curve is easily understandable,2,4,5
Rasch,The person-item plot is easily understandable,2,2,5
Rasch,The person-parameter are easily understandable,2,4,5
General,In general it is easy to use the buttons,5,4,5
General,In general it is easy to navigate between tabs,5,5,5
General,In general the colors of the dashboard are adecuate,5,5,5
General,In general the instructions are clear,1,1,4
